mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.20144729614257811,0.03411037800893371,0.008200597763061524,0.00040212473402874774,0.7,1.0,0.1,200,1,4,0.01,0.2,0.7,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.9373370273794002,0.9625751776927283,0.9585565882996173,0.9444778567523237,0.9460634226353197,0.949802014551878,0.009354099519788418,1,0.9738919833242209,0.9686860312781463,0.9680719315483501,0.9729284369114879,0.9718179399001063,0.9710792645924624,0.002308596278023501
0.1378551483154297,0.024930706886713463,0.009586048126220704,0.0015227177732712947,0.7,1.0,1.0,200,7,3,0.01,0.1,0.7,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.9373641894828335,0.9616183706943685,0.9575861126298524,0.9439037725533079,0.94803171131766,0.9497008313356046,0.008863294983473704,2,0.9638993302351012,0.9589849613799503,0.9589491388957122,0.9623880973825705,0.9614311253036382,0.9611305306393945,0.001933908987174786
0.24951696395874023,0.021099252094334404,0.010731124877929687,0.002253745455807393,0.7,0.5,0.1,200,5,6,0.01,0.3,0.8,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.9387494567579313,0.9617003827227992,0.9590759978130126,0.9448605795516675,0.9433023510114817,0.9495377535713786,0.009121964712908248,3,0.9776893110989612,0.9749993176669668,0.9746410928245857,0.9776143590163486,0.9761456371625863,0.9762179435538897,0.0012721347480116013
0.10964255332946778,0.005782959851539855,0.00803842544555664,0.000606898651247423,0.8,0.5,0.0,100,1,4,0.01,0.0,0.7,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.7}",0.9380568231203823,0.9625205030071078,0.957736468015309,0.9449562602515035,0.9436850738108256,0.9493910256410256,0.009194767658364975,4,0.9719254032258065,0.9657409113239991,0.9662953069133984,0.9710136398373317,0.9687525587488741,0.9687455640098819,0.0024611904406696343
0.08597011566162109,0.002002982890428602,0.008115005493164063,0.00030565441863055046,0.9,2.0,0.1,100,7,4,0.05,0.3,0.8,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.9384506736201652,0.9620831055221433,0.959704756697649,0.9413613996719518,0.9446418808091854,0.9492483632642189,0.009737358465473191,5,0.9740372129579006,0.9710179044187887,0.9711995755888535,0.9746325636616721,0.972971082726057,0.9727716678706544,0.0014595522727900785
0.13180041313171387,0.00426132348909403,0.008801412582397462,0.0004010026828212088,0.9,0.5,0.0,200,1,3,0.05,0.0,0.7,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7}",0.936848109517601,0.9615363586659376,0.9600874794969929,0.9411427009294697,0.9463094587206125,0.9491848214661228,0.009965603831997648,6,0.9826134499726626,0.9799104096727531,0.9791189033543493,0.9820989928764431,0.9813637790332705,0.9810211069818957,0.0013165747597375333
0.24287610054016112,0.007940902961669912,0.008800506591796875,0.0009779175074059033,0.9,2.0,0.0,200,5,6,0.01,0.0,0.7,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.7}",0.938342025206432,0.9606068890103882,0.9598687807545107,0.9433570256971022,0.9436577364680153,0.9491664914272897,0.009237824808264721,7,0.9773774945325315,0.9739553481263136,0.9742385163350528,0.9772544283413849,0.975569065749611,0.9756789706169787,0.0014439468578595648
0.1489415645599365,0.010354309511845572,0.010601234436035157,0.006710661564116798,0.7,1.0,0.0,100,5,7,0.01,0.1,0.9,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.9385864841373315,0.9617550574084199,0.9586796063422636,0.9433023510114817,0.9428102788408965,0.9490267555480786,0.009333807945124837,8,0.9745557681793329,0.9717249720243457,0.971065667731106,0.9739945822757171,0.9730188460383744,0.9728719672497753,0.0013187372326352756
0.5460247993469238,0.07546025230998099,0.009861135482788086,0.00038445879977802485,0.9,1.5,0.1,300,3,7,0.01,0.0,0.8,"{'subsample': 0.9, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",0.9383691873098652,0.9607162383816292,0.9579004920721705,0.9425095680699835,0.9455440131219245,0.9490078997911147,0.008758680486246465,9,0.9884448469108803,0.9868275607958732,0.9870288490406397,0.9882092851879144,0.9868173258003767,0.9874655735471368,0.0007113504104300809
0.17180094718933106,0.14468251561197176,0.00844717025756836,0.001236526465550408,0.8,1.5,1.0,100,7,5,0.05,0.0,0.8,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 1.0, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",0.939754454584963,0.9629579004920722,0.9575177692728267,0.9402132312739202,0.9444778567523238,0.9489842424752212,0.009492221365448599,10,0.9773578458173867,0.9747212669559759,0.9749942001692185,0.9775341848849586,0.976060345533448,0.9761335686721975,0.0011626434238366688
0.148115873336792,0.08057258596029104,0.00740962028503418,0.0010259510703759516,0.7,1.0,0.1,100,3,4,0.01,0.0,0.9,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.9}",0.9383691873098653,0.9617823947512301,0.9578321487151449,0.9438490978676872,0.941853471842537,0.9487372600972929,0.009291610637076241,11,0.969476148168398,0.9647020592810939,0.9646534430524849,0.9687244125112584,0.9678962307923252,0.9670904587611121,0.0020324411436588126
1.031454038619995,0.38157917351569043,0.014526987075805664,0.0048431939951181155,0.7,0.5,1.0,400,3,7,0.01,0.0,0.9,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.9}",0.9380160799652324,0.960579551667578,0.959130672498633,0.9411427009294697,0.9443958447238929,0.9486529699569612,0.009377593365712132,12,0.9876332695462001,0.9861639919211769,0.9860769944594557,0.9879602336308305,0.9864898059444853,0.9868648591004296,0.0007801167015587602
0.10386672019958496,0.0035051287579502314,0.007997465133666993,0.0010604298507366561,0.7,2.0,0.1,100,5,5,0.05,0.0,0.8,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",0.9388852672750979,0.9608529250956807,0.959322033898305,0.9404045926735921,0.9429743028977583,0.9484878243680868,0.009573113062144204,13,0.9802077638053582,0.9785892423374,0.9778122355959498,0.980283987008379,0.9787231501951471,0.9791232757884469,0.0009682441219541877
0.25889062881469727,0.2102139059987762,0.008200502395629883,0.0006900661190845022,0.8,0.5,0.1,200,5,3,0.05,0.0,0.8,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",0.9358702737940026,0.9621924548933843,0.9583925642427555,0.9395297977036633,0.9463367960634227,0.9484643773394457,0.010295569610095128,14,0.9794730727173319,0.9774096591064168,0.9775870656950244,0.9798626463604356,0.9783785720134284,0.9785422031785274,0.0009830368396737768
0.15748214721679688,0.0032525440197653677,0.008264398574829102,0.0006865098706694489,0.9,1.0,0.5,100,5,7,0.01,0.0,0.8,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",0.938953172533681,0.9610442864953526,0.9608119190814652,0.9393931109896119,0.9405549480590487,0.948151487431832,0.010445442667103972,15,0.9744515445598687,0.9714281571549441,0.9711987226725621,0.9743357487922705,0.972439715876525,0.9727707778112341,0.0013897985915330678
0.5440611839294434,0.16684223918003863,0.009500694274902344,0.0008969760373268365,0.8,2.0,0.0,200,1,7,0.01,0.2,0.9,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.9364814211212518,0.962356478950246,0.9559048660470203,0.9407463094587206,0.9451202843083653,0.9481218719771208,0.009613610970862017,16,0.9891658693275014,0.9866160375556101,0.986975968230574,0.987723122901826,0.986880441605939,0.9874722879242901,0.0009231377093412807
0.16676568984985352,0.016236673967792988,0.008129549026489259,0.0002596628730475863,0.7,2.0,0.1,100,1,6,0.05,0.2,0.9,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.937228378965667,0.9604428649535265,0.9583652268999453,0.9380262438490978,0.9430563149261891,0.9474238059188853,0.010005463231829423,17,0.9924395161290323,0.9918887660689429,0.9910000272933213,0.9921378176260268,0.9915339528917274,0.9918000160018103,0.0004983409348454524
0.322833251953125,0.5549250314695664,0.005529975891113282,0.0018260113394574565,0.9,0.5,0.1,100,1,3,0.15,0.2,0.8,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.9352727075184702,0.9575997813012576,0.9547840349917989,0.938436303991252,0.9389830508474577,0.9450151757300473,0.009256205264222604,18,0.9909240021869874,0.9874860121728213,0.988843854908704,0.9905326291656432,0.9888626190671143,0.989329823500254,0.0012523763667057258
1.446586275100708,0.004855619810008935,0.007813596725463867,0.001064675837064612,0.8,1.0,0.5,100,7,4,0.1,0.0,0.9,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.9}",0.9332627118644069,0.9607435757244396,0.9535811919081464,0.9337889557135047,0.941470749043193,0.944569436850738,0.01092224488936139,19,0.9837086522689995,0.9823702202571031,0.9828137367286225,0.9836513005267612,0.9830047899778924,0.9831097399518758,0.0005094125251787375
0.4306304931640625,0.24428812396888547,0.009349203109741211,0.0011204271086769576,0.8,1.5,0.5,300,7,4,0.05,0.0,0.7,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7}",0.9336158192090396,0.9595954073264079,0.954510661563696,0.9336522689994532,0.9407326407873154,0.9444213595771824,0.010755327986634913,20,0.9884089666484418,0.9866501542072654,0.9871840798056717,0.9883542809574498,0.9868770299407735,0.9874949023119205,0.0007437770533470136
0.12546901702880858,0.015989121918736634,0.008190679550170898,0.0006166274501333072,0.9,0.5,0.0,100,5,6,0.1,0.2,0.7,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.9300032594524119,0.9605248769819573,0.9566156369600874,0.9354565336249318,0.9373428102788409,0.943988623459646,0.012210183837200156,21,0.9945393657736468,0.9938419443762112,0.994962676383089,0.9950974371571276,0.9937054777695897,0.994429380291933,0.0005677882209237147
